InvoiceNo,ItemName,Quantity,Timestamp,Price
INV-20000,Processor,4.0,2024-07-16 09:58:59,327.85
INV-20000,Gaming Backpack,1.0,2024-07-16 09:58:59,1698.04
INV-20000,Gaming Microphone,1.0,2024-07-16 09:58:59,211.5
INV-20001,Motherboard,3.0,2024-12-12 03:54:46,1020.6
INV-20001,Gaming Desk,2.0,2024-12-12 03:54:46,1622.67
INV-20001,VR Headset,3.0,2024-12-12 03:54:46,1786.52
INV-20001,Gaming Chair,3.0,2024-12-12 03:54:46,564.56
INV-20001,VR Headset,2.0,2024-12-12 03:54:46,1786.52
INV-20002,Surround Speakers,4.0,2024-09-20 22:49:53,1215.38
INV-20002,SSD 1TB,2.0,2024-09-20 22:49:53,1478.21
INV-20003,CPU Cooler,1.0,2025-04-08 08:41:07,855.41
INV-20003,Capture Card,,2025-04-08 08:41:07,1186.75
INV-20003,Gaming Microphone,2.0,2025-04-08 08:41:07,211.5
INV-20004,Gaming Mouse,2.0,2024-12-28 15:07:08,1286.07
INV-20004,Joystick,1.0,2024-12-28 15:07:08,1402.32
INV-20004,Gaming Monitor,1.0,2024-12-28 15:07:08,192.14
INV-20005,Mechanical Keyboard,2.0,2024-12-05 21:58:01,69.52
INV-20005,Gaming Backpack,2.0,2024-12-05 21:58:01,1698.04
INV-20005,Streaming Webcam,4.0,2024-12-05 21:58:01,1306.77
INV-20006,,2.0,2024-06-27 04:59:21,1698.04
INV-20006,External Hard Drive,3.0,2024-06-27 04:59:21,456.47
INV-20006,Gaming Desk,2.0,2024-06-27 04:59:21,1622.67
INV-20007,RGB Lighting Kit,1.0,2024-10-14 09:18:49,1098.98
INV-20008,Gaming Monitor,1.0,2024-06-19 01:50:06,192.14
INV-20008,RAM 32GB,2.0,2024-06-19 01:50:06,686.46
INV-20008,Mouse Pad,1.0,2024-06-19 01:50:06,413.7
INV-20008,Gaming Microphone,,2024-06-19 01:50:06,211.5
INV-20009,Gaming Controller,3.0,2024-06-28 05:04:55,72.54
INV-20009,VR Headset,2.0,2024-06-28 05:04:55,1786.52
INV-20009,Gaming Headset,4.0,2024-06-28 05:04:55,79.0
INV-20009,Gaming Chair,1.0,2024-06-28 05:04:55,564.56
INV-20010,WiFi Router,1.0,2025-02-27 17:00:04,32.87
INV-20010,Joystick,3.0,2025-02-27 17:00:04,1402.32
INV-20010,,1.0,2025-02-27 17:00:04,693.7
INV-20011,CPU Cooler,1.0,2025-01-27 12:34:47,855.41
INV-20011,SSD 1TB,1.0,2025-01-27 12:34:47,1478.21
INV-20011,Surround Speakers,3.0,2025-01-27 12:34:47,1215.38
INV-20012,Motherboard,3.0,2024-06-20 07:41:25,1020.6
INV-20012,Gaming Backpack,1.0,2024-06-20 07:41:25,1698.04
INV-20012,Gaming Laptop,4.0,2024-06-20 07:41:25,1359.86
INV-20012,Processor,1.0,2024-06-20 07:41:25,327.85
INV-20013,Streaming Webcam,1.0,2024-06-10 12:00:46,1306.77
INV-20013,WiFi Router,2.0,2024-06-10 12:00:46,32.87
INV-20013,Processor,3.0,2024-06-10 12:00:46,327.85
INV-20013,SSD 1TB,2.0,2024-06-10 12:00:46,1478.21
INV-20013,Surround Speakers,4.0,2024-06-10 12:00:46,1215.38
INV-20014,Power Supply,3.0,2024-10-13 08:37:49,452.9
INV-20014,CPU Cooler,1.0,2024-10-13 08:37:49,855.41
INV-20014,Gaming Microphone,1.0,2024-10-13 08:37:49,211.5
INV-20014,Gaming Chair,1.0,2024-10-13 08:37:49,564.56
INV-20014,Joystick,1.0,2024-10-13 08:37:49,1402.32
INV-20015,Processor,3.0,2024-10-07 07:15:54,327.85
INV-20015,VR Headset,2.0,2024-10-07 07:15:54,1786.52
INV-20015,Motherboard,3.0,2024-10-07 07:15:54,1020.6
INV-20015,Mouse Pad,3.0,2024-10-07 07:15:54,413.7
INV-20015,Joystick,3.0,2024-10-07 07:15:54,1402.32
INV-20016,Gaming Chair,3.0,2024-05-19 08:43:48,564.56
INV-20017,Streaming Webcam,4.0,2025-04-16 10:25:54,1306.77
INV-20017,Gamepad,1.0,2025-04-16 10:25:54,1615.52
INV-20017,Sound Card,4.0,2025-04-16 10:25:54,693.7
INV-20018,Capture Card,4.0,2024-10-25 15:34:13,1186.75
INV-20018,WiFi Router,2.0,2024-10-25 15:34:13,32.87
INV-20018,Power Supply,4.0,2024-10-25 15:34:13,452.9
INV-20019,RAM 16GB,3.0,2024-07-24 17:36:34,1915.28
INV-20019,Gaming Backpack,2.0,2024-07-24 17:36:34,1698.04
INV-20019,Gaming Controller,1.0,2024-07-24 17:36:34,72.54
INV-20019,Gaming Backpack,4.0,2024-07-24 17:36:34,1698.04
INV-20019,RAM 16GB,2.0,2024-07-24 17:36:34,1915.28
INV-20020,Gaming Desk,4.0,2024-12-18 02:40:05,1622.67
INV-20020,Gaming Desk,4.0,2024-12-18 02:40:05,1622.67
INV-20021,Joystick,3.0,2024-10-06 03:34:08,1402.32
INV-20021,Gaming Mouse,1.0,2024-10-06 03:34:08,1286.07
INV-20021,Gaming Chair,1.0,2024-10-06 03:34:08,564.56
INV-20021,WiFi Router,2.0,2024-10-06 03:34:08,32.87
INV-20021,RAM 16GB,1.0,2024-10-06 03:34:08,1915.28
INV-20022,Motherboard,4.0,2025-02-12 21:26:30,1020.6
INV-20022,Gaming Laptop,1.0,2025-02-12 21:26:30,1359.86
INV-20022,RAM 32GB,3.0,2025-02-12 21:26:30,
INV-20022,Mechanical Keyboard,4.0,2025-02-12 21:26:30,69.52
INV-20022,Motherboard,3.0,2025-02-12 21:26:30,1020.6
INV-20023,Capture Card,3.0,2024-08-30 05:00:37,1186.75
INV-20023,Mouse Pad,4.0,2024-08-30 05:00:37,413.7
INV-20023,VR Headset,3.0,2024-08-30 05:00:37,1786.52
INV-20023,Motherboard,2.0,2024-08-30 05:00:37,1020.6
INV-20023,RAM 32GB,,2024-08-30 05:00:37,686.46
INV-20024,CPU Cooler,3.0,2024-09-05 15:03:41,855.41
INV-20024,CPU Cooler,2.0,2024-09-05 15:03:41,855.41
INV-20024,Gaming Headset,4.0,2024-09-05 15:03:41,79.0
INV-20024,Gaming Monitor,2.0,2024-09-05 15:03:41,192.14
INV-20025,Graphics Card,1.0,2025-04-22 23:29:39,461.96
INV-20025,Graphics Card,3.0,2025-04-22 23:29:39,461.96
INV-20025,Gaming Microphone,4.0,2025-04-22 23:29:39,211.5
INV-20025,Gaming Mouse,2.0,2025-04-22 23:29:39,1286.07
INV-20026,Gaming Desk,4.0,2025-03-27 01:33:11,1622.67
INV-20026,Gaming Headset,3.0,2025-03-27 01:33:11,79.0
INV-20026,Gaming Microphone,2.0,2025-03-27 01:33:11,211.5
INV-20027,Gaming Desk,4.0,2024-10-30 12:10:40,1622.67
INV-20028,Mouse Pad,4.0,2024-12-22 23:33:04,413.7
INV-20028,Mouse Pad,2.0,2024-12-22 23:33:04,413.7
INV-20028,Graphics Card,3.0,2024-12-22 23:33:04,461.96
INV-20029,Sound Card,4.0,2024-07-31 07:39:07,693.7
INV-20029,Gaming Controller,1.0,2024-07-31 07:39:07,72.54
INV-20030,CPU Cooler,3.0,2024-07-19 09:50:04,855.41
INV-20030,Gaming Laptop,4.0,2024-07-19 09:50:04,1359.86
INV-20030,Gaming Desk,2.0,2024-07-19 09:50:04,1622.67
INV-20031,Mouse Pad,1.0,2025-03-31 00:51:09,413.7
INV-20031,Gaming Glasses,4.0,2025-03-31 00:51:09,203.64
INV-20031,Gaming Mouse,1.0,2025-03-31 00:51:09,1286.07
INV-20031,Joystick,1.0,2025-03-31 00:51:09,1402.32
INV-20031,Gaming Microphone,1.0,2025-03-31 00:51:09,211.5
INV-20032,Capture Card,1.0,2025-01-25 07:31:20,1186.75
INV-20033,Gaming Glasses,2.0,2024-10-01 15:20:22,203.64
INV-20033,RGB Lighting Kit,3.0,2024-10-01 15:20:22,1098.98
INV-20033,Gaming Monitor,1.0,2024-10-01 15:20:22,192.14
INV-20033,Streaming Webcam,2.0,2024-10-01 15:20:22,1306.77
INV-20034,Gaming Microphone,2.0,2024-12-24 19:55:15,211.5
INV-20034,VR Headset,4.0,2024-12-24 19:55:15,1786.52
INV-20034,Sound Card,1.0,2024-12-24 19:55:15,693.7
INV-20035,,4.0,2025-03-12 05:50:30,456.47
INV-20035,Power Supply,4.0,2025-03-12 05:50:30,452.9
INV-20036,WiFi Router,3.0,2024-12-30 15:27:35,32.87
INV-20036,Sound Card,2.0,2024-12-30 15:27:35,693.7
INV-20037,RAM 16GB,1.0,2024-12-10 23:22:40,1915.28
INV-20038,Motherboard,2.0,2024-12-29 10:12:33,1020.6
INV-20038,Mouse Pad,4.0,2024-12-29 10:12:33,413.7
INV-20039,SSD 1TB,3.0,2024-12-19 18:09:37,1478.21
INV-20040,Gaming Laptop,3.0,2025-04-03 10:05:12,1359.86
INV-20040,Gaming Chair,4.0,2025-04-03 10:05:12,564.56
INV-20041,Streaming Webcam,3.0,2024-12-11 10:34:54,1306.77
INV-20041,Motherboard,1.0,2024-12-11 10:34:54,1020.6
INV-20041,Gaming Desk,2.0,2024-12-11 10:34:54,1622.67
INV-20041,Gamepad,1.0,2024-12-11 10:34:54,1615.52
INV-20042,Graphics Card,3.0,2025-04-23 22:28:29,461.96
INV-20042,External Hard Drive,2.0,2025-04-23 22:28:29,456.47
INV-20043,Surround Speakers,3.0,2024-07-04 00:39:57,1215.38
INV-20043,CPU Cooler,4.0,2024-07-04 00:39:57,855.41
INV-20043,Graphics Card,3.0,2024-07-04 00:39:57,461.96
INV-20043,Streaming Webcam,1.0,2024-07-04 00:39:57,1306.77
INV-20044,Motherboard,4.0,2024-05-18 15:25:37,1020.6
INV-20045,Joystick,3.0,2024-09-05 10:57:10,1402.32
INV-20046,Processor,3.0,2024-05-12 20:20:00,327.85
INV-20047,Gaming Backpack,1.0,2024-09-10 11:48:23,1698.04
INV-20047,Mouse Pad,2.0,2024-09-10 11:48:23,413.7
INV-20047,Gaming Backpack,3.0,2024-09-10 11:48:23,1698.04
INV-20048,Gamepad,1.0,2025-03-07 20:01:49,1615.52
INV-20048,Motherboard,2.0,2025-03-07 20:01:49,1020.6
INV-20048,Mechanical Keyboard,1.0,2025-03-07 20:01:49,69.52
INV-20049,Gaming Controller,1.0,2024-07-26 14:27:37,
INV-20049,Gaming Mouse,1.0,2024-07-26 14:27:37,1286.07
INV-20050,Gaming Laptop,3.0,2024-05-10 20:57:09,1359.86
INV-20050,CPU Cooler,3.0,2024-05-10 20:57:09,855.41
INV-20051,RGB Lighting Kit,4.0,2024-07-20 05:13:14,1098.98
INV-20051,Capture Card,3.0,2024-07-20 05:13:14,1186.75
INV-20052,Sound Card,2.0,2025-02-25 02:45:41,693.7
INV-20052,Power Supply,1.0,2025-02-25 02:45:41,452.9
INV-20053,Gaming Controller,4.0,2025-03-14 01:41:27,72.54
INV-20053,WiFi Router,2.0,2025-03-14 01:41:27,32.87
INV-20054,Gaming Microphone,4.0,2024-05-23 00:26:10,211.5
INV-20054,Joystick,2.0,2024-05-23 00:26:10,1402.32
INV-20054,RAM 16GB,1.0,2024-05-23 00:26:10,1915.28
INV-20054,WiFi Router,3.0,2024-05-23 00:26:10,32.87
INV-20054,Joystick,2.0,2024-05-23 00:26:10,1402.32
INV-20055,Gamepad,1.0,2024-07-29 10:17:48,1615.52
INV-20056,Capture Card,3.0,2025-03-25 11:14:35,1186.75
INV-20056,Gaming Mouse,2.0,2025-03-25 11:14:35,1286.07
INV-20056,Streaming Webcam,1.0,2025-03-25 11:14:35,1306.77
INV-20057,Mouse Pad,3.0,2024-09-27 19:39:06,413.7
INV-20057,CPU Cooler,2.0,2024-09-27 19:39:06,855.41
INV-20058,VR Headset,2.0,2024-10-26 06:18:28,1786.52
INV-20059,RAM 16GB,1.0,2024-09-13 10:54:13,1915.28
INV-20059,Gaming Desk,4.0,2024-09-13 10:54:13,1622.67
INV-20059,Mouse Pad,4.0,2024-09-13 10:54:13,413.7
INV-20060,Gaming Controller,4.0,2024-05-07 00:21:22,72.54
INV-20061,Gaming Chair,1.0,2024-10-12 17:39:53,564.56
